"method","sites","percent_samp_exceed","num_sites_listed","percent_sites_listed"
"Use Detection Limit",245,0,0,0
"Use 1/2 Detection Limit",245,0,0,0
"Set to 0",245,0,0,0
"Eliminate",6,0,0,0
"Use 1/2 Standard",245,0,0,0
