Monitoring.Location.ID,Monitoring.Location.Latitude,Monitoring.Location.Longitude,qual,r,r_units,Detection_limit,strd,Set_detection_limit,1/2_Det_lim,Set to 0,Set_1/2_crit,num_samples
13141-ORDEQ,45.66386253,-121.525546,<,0.0224,ug/l,0.0224,0.000022,0.0224,0.0112,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0212,ug/l,0.0212,0.000022,0.0212,0.0106,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0219,ug/l,0.0219,0.000022,0.0219,0.01095,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0213,ug/l,0.0213,0.000022,0.0213,0.01065,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0224,ug/l,0.0224,0.000022,0.0224,0.0112,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0218,ug/l,0.0218,0.000022,0.0218,0.0109,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0225,ug/l,0.0225,0.000022,0.0225,0.01125,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0218,ug/l,0.0218,0.000022,0.0218,0.0109,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0227,ug/l,0.0227,0.000022,0.0227,0.01135,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0217,ug/l,0.0217,0.000022,0.0217,0.01085,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,=,0.000183,ug/l,0.0000565,0.000022,0.000183,0.000183,0.000183,0.000183,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0198,ug/l,0.0198,0.000022,0.0198,0.0099,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0219,ug/l,0.0219,0.000022,0.0219,0.01095,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0218,ug/l,0.0218,0.000022,0.0218,0.0109,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0213,ug/l,0.0213,0.000022,0.0213,0.01065,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0222,ug/l,0.0222,0.000022,0.0222,0.0111,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0214,ug/l,0.0214,0.000022,0.0214,0.0107,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0217,ug/l,0.0217,0.000022,0.0217,0.01085,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0269,ug/l,0.0269,0.000022,0.0269,0.01345,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0217,ug/l,0.0217,0.000022,0.0217,0.01085,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0239,ug/l,0.0239,0.000022,0.0239,0.01195,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0221,ug/l,0.0221,0.000022,0.0221,0.01105,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.02,ug/l,0.02,0.000022,0.02,0.01,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0235,ug/l,0.0235,0.000022,0.0235,0.01175,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0241,ug/l,0.0241,0.000022,0.0241,0.01205,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0215,ug/l,0.0215,0.000022,0.0215,0.01075,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0219,ug/l,0.0219,0.000022,0.0219,0.01095,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0185,ug/l,0.0185,0.000022,0.0185,0.00925,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0244,ug/l,0.0244,0.000022,0.0244,0.0122,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0213,ug/l,0.0213,0.000022,0.0213,0.01065,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0213,ug/l,0.0213,0.000022,0.0213,0.01065,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0234,ug/l,0.0234,0.000022,0.0234,0.0117,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0238,ug/l,0.0238,0.000022,0.0238,0.0119,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.024,ug/l,0.024,0.000022,0.024,0.012,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0216,ug/l,0.0216,0.000022,0.0216,0.0108,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0213,ug/l,0.0213,0.000022,0.0213,0.01065,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0212,ug/l,0.0212,0.000022,0.0212,0.0106,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0246,ug/l,0.0246,0.000022,0.0246,0.0123,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0214,ug/l,0.0214,0.000022,0.0214,0.0107,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.024,ug/l,0.024,0.000022,0.024,0.012,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0215,ug/l,0.0215,0.000022,0.0215,0.01075,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0221,ug/l,0.0221,0.000022,0.0221,0.01105,0,0.000011,95
